filename,label,x_min,y_min,x_max,y_max
train_00000.jpg,A5,499,233,607,389
train_00001.jpg,A1,92,131,183,251
train_00001.jpg,A1,1,144,79,264
train_00001.jpg,A1,408,102,500,225
train_00001.jpg,A1,228,444,324,564
train_00001.jpg,A1,39,459,129,581
train_00001.jpg,A19,453,413,531,548
train_00001.jpg,A19,514,85,603,220
train_00001.jpg,A19,616,78,709,215
train_00001.jpg,A19,724,67,800,202
train_00002.jpg,A7,495,161,577,241
train_00002.jpg,A7,316,152,396,228
train_00002.jpg,A7,226,139,305,218
train_00002.jpg,A7,127,132,209,211
train_00002.jpg,A7,108,325,193,414
train_00002.jpg,A7,210,330,290,418
train_00002.jpg,A7,300,340,382,424
train_00002.jpg,A7,481,350,565,439
train_00003.jpg,A14,128,300,282,441
train_00003.jpg,A14,257,412,424,585
train_00003.jpg,A14,426,420,604,595
train_00004.jpg,A17,279,40,329,92
train_00004.jpg,A17,328,65,378,117
train_00004.jpg,A17,378,88,430,140
train_00004.jpg,A17,431,113,481,165
train_00004.jpg,A17,482,140,533,191
train_00004.jpg,A17,532,161,583,214
train_00004.jpg,A17,582,187,631,234
train_00004.jpg,A17,633,210,683,263
train_00004.jpg,A17,684,235,737,287
train_00004.jpg,A17,738,262,791,313
train_00004.jpg,A6,591,637,649,696
train_00004.jpg,A6,531,606,587,664
train_00004.jpg,A6,466,575,522,633
train_00004.jpg,A6,405,545,463,603
train_00004.jpg,A6,347,514,405,575
train_00004.jpg,A6,288,487,346,548
train_00004.jpg,A6,168,428,225,487
train_00004.jpg,A6,60,374,119,432
train_00005.jpg,A8,700,52,774,131
train_00005.jpg,A8,503,182,580,261
train_00005.jpg,A8,558,260,630,338
train_00005.jpg,A8,614,337,689,417
train_00005.jpg,A8,277,351,355,436
train_00005.jpg,A8,336,429,408,509
train_00005.jpg,A8,384,506,463,584
train_00005.jpg,A8,37,400,122,477
train_00005.jpg,A8,106,473,177,553
train_00005.jpg,A8,154,553,227,633
train_00005.jpg,A8,208,628,281,709
train_00006.jpg,A20,461,71,573,155
train_00006.jpg,A20,386,167,501,249
train_00006.jpg,A20,314,265,425,352
train_00006.jpg,A20,239,362,355,446
train_00006.jpg,A19,179,467,294,562
train_00006.jpg,A19,101,567,217,660
train_00006.jpg,A19,21,670,135,762
train_00007.jpg,A16,393,461,469,566
train_00007.jpg,A16,496,469,568,563
train_00007.jpg,A16,590,465,665,559
train_00007.jpg,A16,403,708,471,800
train_00007.jpg,A16,499,710,577,800
train_00007.jpg,A16,597,710,667,800
train_00007.jpg,A3,81,1,321,255
train_00008.jpg,A20,483,292,537,381
train_00008.jpg,A20,675,490,722,583
train_00009.jpg,A15,435,21,551,106
train_00009.jpg,A15,394,192,507,283
train_00009.jpg,A15,319,352,430,438
train_00009.jpg,A15,218,502,330,600
train_00009.jpg,A15,123,652,225,758
train_00010.jpg,A10,489,475,609,600
train_00010.jpg,A10,301,334,426,464
train_00010.jpg,A10,101,206,224,337
