file_name,image_id,width,height,annotation_id,category_id,bbox,area,iscrowd
vid_000271_frame0000027.jpg,140,480,360,211,13,"[227.00196078431372, 53.001960784313724, 252.99607843137255, 212.99607843137255]",41464.42745866975,0
vid_000122_frame0000051.jpg,2503,480,270,4046,14,"[306.0019607843137, 149.00196078431372, 44.99607843137255, 18.996078431372553]",685.3049096501347,0
vid_000122_frame0000051.jpg,2503,480,270,4047,1,"[381.0019607843137, 240.00196078431372, 27.996078431372553, 28.996078431372553]",589.3490272971935,0
vid_000122_frame0000051.jpg,2503,480,270,4048,1,"[306.0019607843137, 208.00196078431372, 54.99607843137255, 62.99607843137255]",1349.6853018069976,0
vid_000122_frame0000051.jpg,2503,480,270,4049,1,"[52.001960784313724, 192.00196078431372, 151.99803921568628, 78.99607843137255]",4028.176474432911,0
vid_000122_frame0000051.jpg,2503,480,270,4050,1,"[0.00196078431372549, 176.00196078431372, 40.99607843137255, 94.99607843137255]",2229.0313802383703,0
vid_000094_frame0000039.jpg,6676,480,270,11162,1,"[0.00196078431372549, 0.00196078431372549, 479.9980392156863, 270.99607843137255]",34881.02745482509,0
vid_000094_frame0000039.jpg,6676,480,270,11163,11,"[264.0019607843137, 21.001960784313727, 216.99607843137255, 199.99607843137255]",19558.34314494425,0
vid_000094_frame0000039.jpg,6676,480,270,11164,1,"[442.0019607843137, 76.00196078431372, 38.99607843137255, 44.99607843137255]",580.809811610919,0
vid_000553_frame0000028.jpg,5397,480,270,8754,12,"[124.00268817204301, 205.02272727272728, 111.99462365591398, 65.975311942959]",5255.3704729662395,0
vid_000106_frame0000022.jpg,593,480,360,949,2,"[2.0019607843137255, 176.0, 477.99607843137255, 108.99803921568628]",13786.568635140331,0
vid_000106_frame0000022.jpg,593,480,360,950,4,"[71.00221238938053, 212.00212765957446, 36.98959088930799, 20.9951549491212]",539.7176757513972,0
vid_000106_frame0000022.jpg,593,480,360,951,4,"[172.03125, 264.0081967213115, 34.9609375, 27.988153643652026]",651.4935537690492,0
vid_000106_frame0000022.jpg,593,480,360,952,4,"[426.0083333333333, 283.0040650406504, 35.976041666666674, 30.98506539413222]",693.199850387099,0
vid_000158_frame0000068.jpg,3565,480,270,5803,1,"[0.00211864406779661, 223.00196078431372, 478.99592057161846, 47.99607843137255]",13767.180549057382,0
vid_000158_frame0000068.jpg,3565,480,270,5804,14,"[250.00196078431372, 176.00328947368422, 22.993231523378597, 29.994507883143967]",514.5697551998287,0
vid_000122_frame0000075.jpg,1667,480,270,2674,14,"[341.0019607843137, 178.00196078431372, 51.99607843137255, 30.996078431372553]",965.7509880815073,0
vid_000050_frame0000010.jpg,5441,480,270,8829,9,"[162.03125, 76.01851851851852, 47.964245495495504, 52.97890416189385]",1448.724202891196,0
vid_000437_frame0000012.jpg,2779,480,360,4507,3,"[233.03125, 170.00526315789475, 247.9627976190476, 149.99014968614196]",12567.118919608722,0
vid_000437_frame0000012.jpg,2779,480,360,4508,9,"[264.0059523809524, 74.00331125827815, 76.99192897497977, 29.994000569678846]",1717.5253808825396,0
vid_000036_frame0000003.jpg,2334,480,270,3751,1,"[0.0020491803278688526, 92.00196078431372, 207.99795081967213, 178.99607843137255]",26153.34806083324,0
vid_000028_frame0000020.jpg,5097,480,270,8272,16,"[198.00196078431372, 150.00196078431372, 116.99607843137255, 52.99607843137255]",1176.0323606305271,0
vid_000282_frame0000014.jpg,2204,480,360,3534,9,"[263.0104166666667, 87.00218340611353, 46.983004385964875, 111.99335230817219]",1195.9339223534648,0
vid_000162_frame0000006.jpg,2928,480,270,4742,1,"[22.00344827586207, 34.016129032258064, 458.9935029436501, 236.98116826503923]",12812.61327576035,0
vid_000118_frame0000005.jpg,774,480,270,1249,1,"[49.001960784313724, 199.00196078431372, 49.99607843137255, 71.99607843137255]",1850.5960899653983,0
vid_000118_frame0000005.jpg,774,480,270,1250,14,"[291.0019607843137, 140.00196078431372, 17.996078431372553, 7.996078431372553]",106.92353710111503,0
vid_000145_frame0000072.jpg,2518,480,270,4086,1,"[0.00196078431372549, 136.00196078431372, 274.99607843137255, 134.99607843137255]",32022.096086120724,0
vid_000145_frame0000072.jpg,2518,480,270,4087,12,"[173.00196078431372, 40.001960784313724, 86.99607843137255, 43.99607843137255]",3038.091184159939,0
vid_000145_frame0000072.jpg,2518,480,270,4088,1,"[189.00196078431372, 2.0019607843137255, 289.9980392156863, 117.99607843137255]",28877.14120338332,0
